tol,oriSize,compressedsize,psnr,max_error,rmse,comp_ratio,method,time,data
0.000010,67108864,8402928,113.547234,0.000000,0.000000,7.986367,cuSZp,0.030000,Hurricate_ISABEL/100x500x500/CLOUDf48.bin.f32
0.000050,67108864,6844760,99.576447,0.000000,0.000000,9.804415,cuSZp,0.030000,Hurricate_ISABEL/100x500x500/CLOUDf48.bin.f32
0.000100,67108864,6181676,93.559570,0.000000,0.000000,10.856095,cuSZp,0.029000,Hurricate_ISABEL/100x500x500/CLOUDf48.bin.f32
0.000500,67108864,4679708,79.624641,0.000001,0.000000,14.340396,cuSZp,0.028000,Hurricate_ISABEL/100x500x500/CLOUDf48.bin.f32
0.001000,67108864,4064412,73.636803,0.000002,0.000000,16.511333,cuSZp,0.028000,Hurricate_ISABEL/100x500x500/CLOUDf48.bin.f32
0.005000,67108864,2745444,59.931107,0.000010,0.000002,24.443720,cuSZp,0.030000,Hurricate_ISABEL/100x500x500/CLOUDf48.bin.f32
0.010000,67108864,2243964,54.228718,0.000020,0.000004,29.906391,cuSZp,0.028000,Hurricate_ISABEL/100x500x500/CLOUDf48.bin.f32
0.020000,67108864,1800896,48.662621,0.000041,0.000008,37.264153,cuSZp,0.026000,Hurricate_ISABEL/100x500x500/CLOUDf48.bin.f32
0.030000,67108864,1568996,45.492989,0.000061,0.000011,42.771851,cuSZp,0.026000,Hurricate_ISABEL/100x500x500/CLOUDf48.bin.f32
0.050000,67108864,1296224,41.753170,0.000102,0.000017,51.772583,cuSZp,0.026000,Hurricate_ISABEL/100x500x500/CLOUDf48.bin.f32
0.100000,67108864,996704,37.208588,0.000205,0.000028,67.330788,cuSZp,0.026000,Hurricate_ISABEL/100x500x500/CLOUDf48.bin.f32
0.000010,67108864,8179668,110.149879,0.000000,0.000000,8.204350,cuSZp,0.030000,Hurricate_ISABEL/100x500x500/PRECIPf48.bin.f32
0.000050,67108864,6147816,97.088814,0.000000,0.000000,10.915887,cuSZp,0.029000,Hurricate_ISABEL/100x500x500/PRECIPf48.bin.f32
0.000100,67108864,5342824,91.348343,0.000001,0.000000,12.560560,cuSZp,0.028000,Hurricate_ISABEL/100x500x500/PRECIPf48.bin.f32
0.000500,67108864,3668112,78.097153,0.000004,0.000001,18.295206,cuSZp,0.028000,Hurricate_ISABEL/100x500x500/PRECIPf48.bin.f32
0.001000,67108864,3046688,72.451355,0.000008,0.000002,22.026825,cuSZp,0.028000,Hurricate_ISABEL/100x500x500/PRECIPf48.bin.f32
0.005000,67108864,1850216,59.687462,0.000038,0.000008,36.270828,cuSZp,0.027000,Hurricate_ISABEL/100x500x500/PRECIPf48.bin.f32
0.010000,67108864,1455392,54.334095,0.000075,0.000014,46.110508,cuSZp,0.026000,Hurricate_ISABEL/100x500x500/PRECIPf48.bin.f32
0.020000,67108864,1141372,49.195236,0.000150,0.000026,58.796661,cuSZp,0.026000,Hurricate_ISABEL/100x500x500/PRECIPf48.bin.f32
0.030000,67108864,983028,46.468437,0.000225,0.000036,68.267502,cuSZp,0.026000,Hurricate_ISABEL/100x500x500/PRECIPf48.bin.f32
0.050000,67108864,807520,43.507458,0.000375,0.000050,83.104897,cuSZp,0.026000,Hurricate_ISABEL/100x500x500/PRECIPf48.bin.f32
0.100000,67108864,633752,40.606239,0.000751,0.000070,105.891365,cuSZp,0.026000,Hurricate_ISABEL/100x500x500/PRECIPf48.bin.f32
0.000010,67108864,5285208,117.068474,0.000000,0.000000,12.697488,cuSZp,0.030000,Hurricate_ISABEL/100x500x500/QCLOUDf48.bin.f32
0.000050,67108864,4365840,103.156281,0.000000,0.000000,15.371352,cuSZp,0.029000,Hurricate_ISABEL/100x500x500/QCLOUDf48.bin.f32
0.000100,67108864,3979184,97.175598,0.000000,0.000000,16.864981,cuSZp,0.029000,Hurricate_ISABEL/100x500x500/QCLOUDf48.bin.f32
0.000500,67108864,3109748,83.354225,0.000001,0.000000,21.580162,cuSZp,0.028000,Hurricate_ISABEL/100x500x500/QCLOUDf48.bin.f32
0.001000,67108864,2755352,77.415504,0.000002,0.000000,24.355822,cuSZp,0.028000,Hurricate_ISABEL/100x500x500/QCLOUDf48.bin.f32
0.005000,67108864,1989240,63.686474,0.000010,0.000001,33.735931,cuSZp,0.027000,Hurricate_ISABEL/100x500x500/QCLOUDf48.bin.f32
0.010000,67108864,1694820,57.798710,0.000020,0.000003,39.596455,cuSZp,0.026000,Hurricate_ISABEL/100x500x500/QCLOUDf48.bin.f32
0.020000,67108864,1430256,51.956306,0.000041,0.000005,46.920876,cuSZp,0.026000,Hurricate_ISABEL/100x500x500/QCLOUDf48.bin.f32
0.030000,67108864,1288104,48.574604,0.000061,0.000008,52.098949,cuSZp,0.026000,Hurricate_ISABEL/100x500x500/QCLOUDf48.bin.f32
0.050000,67108864,1126988,44.382782,0.000102,0.000012,59.547096,cuSZp,0.026000,Hurricate_ISABEL/100x500x500/QCLOUDf48.bin.f32
0.100000,67108864,935376,38.709373,0.000205,0.000024,71.745331,cuSZp,0.026000,Hurricate_ISABEL/100x500x500/QCLOUDf48.bin.f32
0.000010,67108864,28059464,104.795441,0.000940,0.000539,2.391666,cuSZp,0.035000,Hurricate_ISABEL/100x500x500/Vf48.bin.f32
0.000050,67108864,23205668,90.820297,0.004688,0.002696,2.891917,cuSZp,0.034000,Hurricate_ISABEL/100x500x500/Vf48.bin.f32
0.000100,67108864,21122288,84.797966,0.009373,0.005393,3.177159,cuSZp,0.033000,Hurricate_ISABEL/100x500x500/Vf48.bin.f32
0.000500,67108864,16311580,70.819130,0.046852,0.026964,4.114185,cuSZp,0.031000,Hurricate_ISABEL/100x500x500/Vf48.bin.f32
0.001000,67108864,14272392,64.798897,0.093704,0.053926,4.702005,cuSZp,0.031000,Hurricate_ISABEL/100x500x500/Vf48.bin.f32
0.005000,67108864,9773732,50.823948,0.468503,0.269491,6.866248,cuSZp,0.029000,Hurricate_ISABEL/100x500x500/Vf48.bin.f32
0.010000,67108864,8001464,44.779457,0.937004,0.540466,8.387074,cuSZp,0.028000,Hurricate_ISABEL/100x500x500/Vf48.bin.f32
0.020000,67108864,6278096,38.746197,1.874009,1.082510,10.689365,cuSZp,0.030000,Hurricate_ISABEL/100x500x500/Vf48.bin.f32
0.030000,67108864,5294388,35.262634,2.811014,1.616627,12.675471,cuSZp,0.028000,Hurricate_ISABEL/100x500x500/Vf48.bin.f32
0.050000,67108864,4083868,30.956566,4.685022,2.654075,16.432673,cuSZp,0.028000,Hurricate_ISABEL/100x500x500/Vf48.bin.f32
0.100000,67108864,2570276,25.439699,9.370044,5.009064,26.109594,cuSZp,0.027000,Hurricate_ISABEL/100x500x500/Vf48.bin.f32
0.000010,67108864,13141800,104.877258,0.036995,0.021098,5.106520,cuSZp,0.031000,NYX/SDRBENCH-EXASKY-NYX-512x512x512/dark_matter_density.f32
0.000050,67108864,8726548,90.846390,0.184957,0.106116,7.690196,cuSZp,0.030000,NYX/SDRBENCH-EXASKY-NYX-512x512x512/dark_matter_density.f32
0.000100,67108864,7037616,84.701180,0.369914,0.215299,9.535738,cuSZp,0.028000,NYX/SDRBENCH-EXASKY-NYX-512x512x512/dark_matter_density.f32
0.000500,67108864,3300124,75.070625,1.849569,0.652483,20.335255,cuSZp,0.028000,NYX/SDRBENCH-EXASKY-NYX-512x512x512/dark_matter_density.f32
0.001000,67108864,2080552,72.339478,3.699139,0.893566,32.255318,cuSZp,0.027000,NYX/SDRBENCH-EXASKY-NYX-512x512x512/dark_matter_density.f32
0.005000,67108864,777748,66.528473,18.495653,1.744524,86.286125,cuSZp,0.027000,NYX/SDRBENCH-EXASKY-NYX-512x512x512/dark_matter_density.f32
0.010000,67108864,619108,64.380531,36.991177,2.233953,108.396057,cuSZp,0.026000,NYX/SDRBENCH-EXASKY-NYX-512x512x512/dark_matter_density.f32
0.020000,67108864,560812,62.509922,73.981544,2.770796,119.663742,cuSZp,0.025000,NYX/SDRBENCH-EXASKY-NYX-512x512x512/dark_matter_density.f32
0.030000,67108864,545384,61.398731,110.972839,3.148938,123.048828,cuSZp,0.025000,NYX/SDRBENCH-EXASKY-NYX-512x512x512/dark_matter_density.f32
0.050000,67108864,534124,60.029057,184.955872,3.686785,125.642853,cuSZp,0.026000,NYX/SDRBENCH-EXASKY-NYX-512x512x512/dark_matter_density.f32
0.100000,67108864,527180,58.364372,369.877106,4.465623,127.297821,cuSZp,0.025000,NYX/SDRBENCH-EXASKY-NYX-512x512x512/dark_matter_density.f32
0.000010,134793068,26384535,104.880585,0.041122,0.023444,5.108791,cuSZp,0.057000,NYX/SDRBENCH-EXASKY-NYX-512x512x512/dark_matter_density.f32
0.000050,134793068,17547959,90.845421,0.205600,0.117973,7.681410,cuSZp,0.056000,NYX/SDRBENCH-EXASKY-NYX-512x512x512/dark_matter_density.f32
0.000100,134793068,14238223,84.696121,0.411200,0.239467,9.466987,cuSZp,0.055000,NYX/SDRBENCH-EXASKY-NYX-512x512x512/dark_matter_density.f32
0.000500,134793068,6704459,75.254417,2.055995,0.710119,20.104988,cuSZp,0.052000,NYX/SDRBENCH-EXASKY-NYX-512x512x512/dark_matter_density.f32
0.001000,134793068,4303219,72.271721,4.111991,1.001074,31.323776,cuSZp,0.050000,NYX/SDRBENCH-EXASKY-NYX-512x512x512/dark_matter_density.f32
0.005000,134793068,1643763,65.902313,20.559868,2.084186,82.002739,cuSZp,0.048000,NYX/SDRBENCH-EXASKY-NYX-512x512x512/dark_matter_density.f32
0.010000,134793068,1290599,63.557835,41.119717,2.729987,104.442253,cuSZp,0.046000,NYX/SDRBENCH-EXASKY-NYX-512x512x512/dark_matter_density.f32
0.020000,134793068,1151299,61.470642,82.237686,3.471524,117.079117,cuSZp,0.046000,NYX/SDRBENCH-EXASKY-NYX-512x512x512/dark_matter_density.f32
0.030000,134793068,1111339,60.244461,123.353714,3.997875,121.288887,cuSZp,0.046000,NYX/SDRBENCH-EXASKY-NYX-512x512x512/dark_matter_density.f32
0.050000,134793068,1080903,58.731663,205.574692,4.758488,124.704132,cuSZp,0.046000,NYX/SDRBENCH-EXASKY-NYX-512x512x512/dark_matter_density.f32
0.100000,134793068,1061631,56.927753,411.039185,5.856855,126.967911,cuSZp,0.050000,NYX/SDRBENCH-EXASKY-NYX-512x512x512/dark_matter_density.f32
0.000010,536870912,75440324,104.897430,0.137789,0.078405,7.116498,cuSZp,0.210000,NYX/SDRBENCH-EXASKY-NYX-512x512x512/dark_matter_density.f32
0.000050,536870912,46239844,91.266853,0.688947,0.376594,11.610569,cuSZp,0.202000,NYX/SDRBENCH-EXASKY-NYX-512x512x512/dark_matter_density.f32
0.000100,536870912,31263468,87.770454,1.377893,0.563239,17.172468,cuSZp,0.189000,NYX/SDRBENCH-EXASKY-NYX-512x512x512/dark_matter_density.f32
0.000500,536870912,10772408,81.251488,6.889467,1.193003,49.837597,cuSZp,0.176000,NYX/SDRBENCH-EXASKY-NYX-512x512x512/dark_matter_density.f32
0.001000,536870912,7221824,78.688232,13.778934,1.602522,74.340073,cuSZp,0.174000,NYX/SDRBENCH-EXASKY-NYX-512x512x512/dark_matter_density.f32
0.005000,536870912,4556840,73.514725,68.894592,2.907230,117.816490,cuSZp,0.171000,NYX/SDRBENCH-EXASKY-NYX-512x512x512/dark_matter_density.f32
0.010000,536870912,4339056,71.484657,137.789139,3.672677,123.729889,cuSZp,0.171000,NYX/SDRBENCH-EXASKY-NYX-512x512x512/dark_matter_density.f32
0.020000,536870912,4242776,69.527878,275.572815,4.600679,126.537651,cuSZp,0.171000,NYX/SDRBENCH-EXASKY-NYX-512x512x512/dark_matter_density.f32
0.030000,536870912,4218624,68.533691,413.355927,5.158588,127.262093,cuSZp,0.171000,NYX/SDRBENCH-EXASKY-NYX-512x512x512/dark_matter_density.f32
0.050000,536870912,4203904,67.440804,688.890625,5.850266,127.707703,cuSZp,0.170000,NYX/SDRBENCH-EXASKY-NYX-512x512x512/dark_matter_density.f32
0.100000,536870912,4196688,66.187546,1377.147583,6.758313,127.927284,cuSZp,0.171000,NYX/SDRBENCH-EXASKY-NYX-512x512x512/dark_matter_density.f32
0.000010,67108864,40370176,104.769920,0.242188,0.137989,1.662338,cuSZp,0.038000,SDRBENCH-SCALE_98x1200x1200/PRES-98x1200x1200.f32
0.000050,67108864,36175864,90.792625,1.195312,0.689780,1.855073,cuSZp,0.036000,SDRBENCH-SCALE_98x1200x1200/PRES-98x1200x1200.f32
0.000100,67108864,34078712,84.768303,2.390625,1.380150,1.969231,cuSZp,0.036000,SDRBENCH-SCALE_98x1200x1200/PRES-98x1200x1200.f32
0.000500,67108864,28143560,70.788139,11.953125,6.901358,2.384519,cuSZp,0.035000,SDRBENCH-SCALE_98x1200x1200/PRES-98x1200x1200.f32
0.001000,67108864,26047612,64.766647,23.906250,13.804136,2.576392,cuSZp,0.035000,SDRBENCH-SCALE_98x1200x1200/PRES-98x1200x1200.f32
0.005000,67108864,21495808,50.794868,119.492188,68.960134,3.121951,cuSZp,0.033000,SDRBENCH-SCALE_98x1200x1200/PRES-98x1200x1200.f32
0.010000,67108864,19398656,44.763332,238.976562,138.094008,3.459460,cuSZp,0.032000,SDRBENCH-SCALE_98x1200x1200/PRES-98x1200x1200.f32
0.020000,67108864,17301504,38.836338,477.945312,273.227634,3.878788,cuSZp,0.032000,SDRBENCH-SCALE_98x1200x1200/PRES-98x1200x1200.f32
0.030000,67108864,16646568,35.242901,716.906250,413.234356,4.031394,cuSZp,0.031000,SDRBENCH-SCALE_98x1200x1200/PRES-98x1200x1200.f32
0.050000,67108864,15204352,30.709433,1194.851562,696.417920,4.413793,cuSZp,0.030000,SDRBENCH-SCALE_98x1200x1200/PRES-98x1200x1200.f32
0.100000,67108864,13107200,24.925211,2389.695312,1355.442228,5.120000,cuSZp,0.030000,SDRBENCH-SCALE_98x1200x1200/PRES-98x1200x1200.f32
0.000010,134793068,78236003,104.767685,0.359375,0.201842,1.722903,cuSZp,0.070000,SDRBENCH-SCALE_98x1200x1200/PRES-98x1200x1200.f32
0.000050,134793068,68449615,90.790932,1.750000,1.008901,1.969231,cuSZp,0.067000,SDRBENCH-SCALE_98x1200x1200/PRES-98x1200x1200.f32
0.000100,134793068,64237331,84.773293,3.492188,2.017115,2.098360,cuSZp,0.066000,SDRBENCH-SCALE_98x1200x1200/PRES-98x1200x1200.f32
0.000500,134793068,55804479,70.791275,17.476562,10.088614,2.415452,cuSZp,0.064000,SDRBENCH-SCALE_98x1200x1200/PRES-98x1200x1200.f32
0.001000,134793068,51592319,64.760818,34.953125,20.200139,2.612658,cuSZp,0.063000,SDRBENCH-SCALE_98x1200x1200/PRES-98x1200x1200.f32
0.005000,134793068,40725691,50.733940,174.734375,101.554263,3.309780,cuSZp,0.061000,SDRBENCH-SCALE_98x1200x1200/PRES-98x1200x1200.f32
0.010000,134793068,36538595,44.789211,349.460938,201.342125,3.689060,cuSZp,0.059000,SDRBENCH-SCALE_98x1200x1200/PRES-98x1200x1200.f32
0.020000,134793068,32406795,38.788174,698.921875,401.778233,4.159408,cuSZp,0.058000,SDRBENCH-SCALE_98x1200x1200/PRES-98x1200x1200.f32
0.030000,134793068,30539059,35.198551,1048.382812,607.389850,4.413793,cuSZp,0.061000,SDRBENCH-SCALE_98x1200x1200/PRES-98x1200x1200.f32
0.050000,134793068,26326775,30.840349,1747.289062,1003.177376,5.119999,cuSZp,0.057000,SDRBENCH-SCALE_98x1200x1200/PRES-98x1200x1200.f32
0.100000,134793068,22114491,24.865067,3494.578125,1995.914069,6.095237,cuSZp,0.056000,SDRBENCH-SCALE_98x1200x1200/PRES-98x1200x1200.f32
0.000010,536870912,262447872,104.771339,0.992188,0.570724,2.045629,cuSZp,0.247000,SDRBENCH-SCALE_98x1200x1200/PRES-98x1200x1200.f32
0.000050,536870912,223519900,90.792778,4.949219,2.853347,2.401893,cuSZp,0.239000,SDRBENCH-SCALE_98x1200x1200/PRES-98x1200x1200.f32
0.000100,536870912,206745684,84.773582,9.890625,5.705771,2.596770,cuSZp,0.239000,SDRBENCH-SCALE_98x1200x1200/PRES-98x1200x1200.f32
0.000500,536870912,166705688,70.746437,49.429688,28.686112,3.220471,cuSZp,0.229000,SDRBENCH-SCALE_98x1200x1200/PRES-98x1200x1200.f32
0.001000,536870912,150017320,64.722336,98.859375,57.395338,3.578726,cuSZp,0.224000,SDRBENCH-SCALE_98x1200x1200/PRES-98x1200x1200.f32
0.005000,536870912,112831724,50.881538,494.273438,282.433716,4.758156,cuSZp,0.217000,SDRBENCH-SCALE_98x1200x1200/PRES-98x1200x1200.f32
0.010000,536870912,96758368,44.784985,988.539062,569.828660,5.548573,cuSZp,0.213000,SDRBENCH-SCALE_98x1200x1200/PRES-98x1200x1200.f32
0.020000,536870912,80848532,38.916721,1977.078125,1119.843527,6.640453,cuSZp,0.209000,SDRBENCH-SCALE_98x1200x1200/PRES-98x1200x1200.f32
0.030000,536870912,71931084,35.233196,2965.617188,1711.329586,7.463685,cuSZp,0.208000,SDRBENCH-SCALE_98x1200x1200/PRES-98x1200x1200.f32
0.050000,536870912,60704116,30.395359,4942.695312,2986.933245,8.844061,cuSZp,0.205000,SDRBENCH-SCALE_98x1200x1200/PRES-98x1200x1200.f32
0.100000,536870912,45747428,24.599300,9885.382812,5821.412529,11.735543,cuSZp,0.200000,SDRBENCH-SCALE_98x1200x1200/PRES-98x1200x1200.f32
0.000010,67108864,34985968,104.770660,0.000977,0.000562,1.918165,cuSZp,0.037000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
0.000050,67108864,29870136,90.791313,0.004875,0.002812,2.246688,cuSZp,0.036000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
0.000100,67108864,27773312,84.769913,0.009743,0.005624,2.416308,cuSZp,0.035000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
0.000500,67108864,23030976,70.792252,0.048706,0.028113,2.913852,cuSZp,0.033000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
0.001000,67108864,20935632,64.770874,0.097397,0.056231,3.205485,cuSZp,0.032000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
0.005000,67108864,16222276,50.789917,0.486961,0.281204,4.136834,cuSZp,0.031000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
0.010000,67108864,14153084,44.768269,0.973915,0.562476,4.741642,cuSZp,0.030000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
0.020000,67108864,12108920,38.760208,1.947823,1.123328,5.542101,cuSZp,0.030000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
0.030000,67108864,10682372,35.219223,2.921722,1.688714,6.282206,cuSZp,0.030000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
0.050000,67108864,9338460,30.783487,4.869537,2.814122,7.186288,cuSZp,0.029000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
0.100000,67108864,7543336,24.934687,9.739067,5.518015,8.896443,cuSZp,0.028000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
0.000010,134793068,69755763,104.770973,0.001156,0.000666,1.932357,cuSZp,0.068000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
0.000050,134793068,59637175,90.790695,0.005768,0.003329,2.260219,cuSZp,0.065000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
0.000100,134793068,55425239,84.770775,0.011536,0.006658,2.431980,cuSZp,0.064000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
0.000500,134793068,46280047,70.792381,0.057663,0.033284,2.912553,cuSZp,0.062000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
0.001000,134793068,42072319,64.771500,0.115311,0.066571,3.203842,cuSZp,0.061000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
0.005000,134793068,32153919,50.794193,0.576538,0.332773,4.192120,cuSZp,0.059000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
0.010000,134793068,28020543,44.779469,1.153076,0.665096,4.810509,cuSZp,0.057000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
0.020000,134793068,23964175,38.745174,2.306152,1.332292,5.624774,cuSZp,0.056000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
0.030000,134793068,21438359,35.229050,3.459236,1.997126,6.287471,cuSZp,0.056000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
0.050000,134793068,18072055,30.783476,5.765388,3.331840,7.458646,cuSZp,0.055000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
0.100000,134793068,14499083,24.611004,11.530766,6.781220,9.296661,cuSZp,0.054000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
0.000010,536870912,241934552,104.771324,0.002047,0.001181,2.219075,cuSZp,0.244000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
0.000050,536870912,202401992,90.791237,0.010224,0.005903,2.652498,cuSZp,0.235000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
0.000100,536870912,185695052,84.770607,0.020449,0.011806,2.891143,cuSZp,0.232000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
