tol,oriSize,compressedsize,psnr,max_error,rmse,comp_ratio,method,time,data
0.000500,536870912,147489792,70.787994,0.102242,0.059052,3.640055,cuSZp,0.224000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
0.001000,536870912,131222536,64.831306,0.204475,0.117239,4.091301,cuSZp,0.220000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
0.005000,536870912,93804424,50.901581,1.022369,0.582850,5.723300,cuSZp,0.213000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
0.010000,536870912,79074448,45.032253,2.044731,1.145574,6.789436,cuSZp,0.210000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
0.020000,536870912,65074804,39.250999,4.089462,2.228875,8.250058,cuSZp,0.206000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
0.030000,536870912,56560384,35.720100,6.134193,3.346807,9.491996,cuSZp,0.205000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
0.050000,536870912,47980864,31.498182,10.223648,5.441602,11.189272,cuSZp,0.201000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
0.100000,536870912,36444224,25.486208,20.447294,10.872400,14.731303,cuSZp,0.194000,SDRBENCH-SCALE_98x1200x1200/RH-98x1200x1200.f32
0.000010,67108864,30174044,104.771217,0.000000,0.000000,2.224059,cuSZp,0.035000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.000050,67108864,25284824,90.792564,0.000000,0.000000,2.654116,cuSZp,0.033000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.000100,67108864,23189744,84.770020,0.000000,0.000000,2.893903,cuSZp,0.034000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.000500,67108864,18155948,70.790474,0.000000,0.000000,3.696247,cuSZp,0.034000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.001000,67108864,16069240,64.774925,0.000000,0.000000,4.176231,cuSZp,0.031000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.005000,67108864,11446332,50.808640,0.000000,0.000000,5.862915,cuSZp,0.030000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.010000,67108864,9437524,45.036266,0.000000,0.000000,7.110855,cuSZp,0.029000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.020000,67108864,7503896,38.571003,0.000000,0.000000,8.943203,cuSZp,0.028000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.030000,67108864,6762512,35.286930,0.000000,0.000000,9.923659,cuSZp,0.028000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.050000,67108864,5289872,32.086811,0.000000,0.000000,12.686293,cuSZp,0.028000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.100000,67108864,4035120,22.666456,0.000000,0.000000,16.631195,cuSZp,0.028000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.000010,134793068,58709659,104.771584,0.000000,0.000000,2.295927,cuSZp,0.065000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.000050,134793068,49081435,90.792702,0.000000,0.000000,2.746315,cuSZp,0.063000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.000100,134793068,44872067,84.771011,0.000000,0.000000,3.003942,cuSZp,0.062000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.000500,134793068,35202151,70.792549,0.000000,0.000000,3.829114,cuSZp,0.060000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.001000,134793068,31033519,64.769188,0.000000,0.000000,4.343467,cuSZp,0.061000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.005000,134793068,21319575,50.819687,0.000000,0.000000,6.322503,cuSZp,0.056000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.010000,134793068,17579483,44.749794,0.000000,0.000000,7.667635,cuSZp,0.056000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.020000,134793068,14167999,38.558044,0.000000,0.000000,9.513910,cuSZp,0.054000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.030000,134793068,11756799,35.674526,0.000000,0.000000,11.465117,cuSZp,0.054000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.050000,134793068,10143187,30.806078,0.000000,0.000000,13.289025,cuSZp,0.054000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.100000,134793068,4814555,23.018253,0.000000,0.000000,27.996994,cuSZp,0.050000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.000010,536870912,61964768,108.977638,0.000000,0.000000,8.664132,cuSZp,0.206000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.000050,536870912,47993604,95.270813,0.000000,0.000000,11.186301,cuSZp,0.201000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.000100,536870912,42327444,89.353508,0.000000,0.000000,12.683755,cuSZp,0.198000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.000500,536870912,30292540,75.752167,0.000000,0.000000,17.722876,cuSZp,0.189000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.001000,536870912,25609696,69.969673,0.000001,0.000000,20.963579,cuSZp,0.186000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.005000,536870912,16252416,56.642162,0.000004,0.000001,33.033298,cuSZp,0.183000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.010000,536870912,13016964,51.038879,0.000008,0.000002,41.243942,cuSZp,0.178000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.020000,536870912,10200684,45.420174,0.000015,0.000004,52.630875,cuSZp,0.174000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.030000,536870912,8702932,42.143402,0.000023,0.000006,61.688511,cuSZp,0.175000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.050000,536870912,7007112,38.193474,0.000038,0.000009,76.618004,cuSZp,0.173000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.100000,536870912,4998432,33.870743,0.000076,0.000015,107.407867,cuSZp,0.172000,SDRBENCH-SCALE_98x1200x1200/QS-98x1200x1200.f32
0.000010,67108864,10017452,106.914146,0.000000,0.000000,6.699195,cuSZp,0.031000,SDRBENCH-SCALE_98x1200x1200/QR-98x1200x1200.f32
0.000050,67108864,7236336,93.362350,0.000000,0.000000,9.273873,cuSZp,0.029000,SDRBENCH-SCALE_98x1200x1200/QR-98x1200x1200.f32
0.000100,67108864,6172560,87.609200,0.000000,0.000000,10.872128,cuSZp,0.030000,SDRBENCH-SCALE_98x1200x1200/QR-98x1200x1200.f32
0.000500,67108864,4067896,74.458778,0.000001,0.000000,16.497192,cuSZp,0.028000,SDRBENCH-SCALE_98x1200x1200/QR-98x1200x1200.f32
0.001000,67108864,3316148,68.898529,0.000002,0.000001,20.236994,cuSZp,0.028000,SDRBENCH-SCALE_98x1200x1200/QR-98x1200x1200.f32
0.005000,67108864,1955344,56.394691,0.000011,0.000003,34.320747,cuSZp,0.027000,SDRBENCH-SCALE_98x1200x1200/QR-98x1200x1200.f32
0.010000,67108864,1523420,51.210682,0.000021,0.000006,44.051453,cuSZp,0.027000,SDRBENCH-SCALE_98x1200x1200/QR-98x1200x1200.f32
0.020000,67108864,1182680,46.322403,0.000042,0.000010,56.743046,cuSZp,0.026000,SDRBENCH-SCALE_98x1200x1200/QR-98x1200x1200.f32
0.030000,67108864,1028928,43.537319,0.000064,0.000014,65.222122,cuSZp,0.026000,SDRBENCH-SCALE_98x1200x1200/QR-98x1200x1200.f32
0.050000,67108864,873224,40.124767,0.000106,0.000021,76.851830,cuSZp,0.028000,SDRBENCH-SCALE_98x1200x1200/QR-98x1200x1200.f32
0.100000,67108864,716404,35.645733,0.000212,0.000035,93.674606,cuSZp,0.026000,SDRBENCH-SCALE_98x1200x1200/QR-98x1200x1200.f32
0.000010,134793068,22923883,106.320564,0.000000,0.000000,5.880028,cuSZp,0.058000,SDRBENCH-SCALE_98x1200x1200/QR-98x1200x1200.f32
0.000050,134793068,16506155,92.701759,0.000000,0.000000,8.166230,cuSZp,0.056000,SDRBENCH-SCALE_98x1200x1200/QR-98x1200x1200.f32
0.000100,134793068,14016991,86.909721,0.000000,0.000000,9.616405,cuSZp,0.055000,SDRBENCH-SCALE_98x1200x1200/QR-98x1200x1200.f32
0.000500,134793068,9074655,73.610931,0.000002,0.000001,14.853795,cuSZp,0.054000,SDRBENCH-SCALE_98x1200x1200/QR-98x1200x1200.f32
0.001000,134793068,7303347,68.001610,0.000003,0.000001,18.456341,cuSZp,0.053000,SDRBENCH-SCALE_98x1200x1200/QR-98x1200x1200.f32
0.005000,134793068,4003179,55.612396,0.000016,0.000005,33.671505,cuSZp,0.049000,SDRBENCH-SCALE_98x1200x1200/QR-98x1200x1200.f32
0.010000,134793068,3009147,50.746075,0.000032,0.000009,44.794445,cuSZp,0.049000,SDRBENCH-SCALE_98x1200x1200/QR-98x1200x1200.f32
0.020000,134793068,2273979,46.062641,0.000063,0.000016,59.276302,cuSZp,0.049000,SDRBENCH-SCALE_98x1200x1200/QR-98x1200x1200.f32
0.030000,134793068,1951639,43.536179,0.000095,0.000021,69.066597,cuSZp,0.048000,SDRBENCH-SCALE_98x1200x1200/QR-98x1200x1200.f32
0.050000,134793068,1664431,40.383163,0.000158,0.000030,80.984474,cuSZp,0.047000,SDRBENCH-SCALE_98x1200x1200/QR-98x1200x1200.f32
0.100000,134793068,1375443,36.056610,0.000316,0.000050,97.999748,cuSZp,0.049000,SDRBENCH-SCALE_98x1200x1200/QR-98x1200x1200.f32
0.000010,536870912,37590704,110.058708,0.000000,0.000000,14.282013,cuSZp,0.194000,SDRBENCH-SCALE_98x1200x1200/QR-98x1200x1200.f32
0.000050,536870912,27035764,96.573532,0.000000,0.000000,19.857805,cuSZp,0.186000,SDRBENCH-SCALE_98x1200x1200/QR-98x1200x1200.f32
0.000100,536870912,23071056,90.830986,0.000001,0.000000,23.270323,cuSZp,0.185000,SDRBENCH-SCALE_98x1200x1200/QR-98x1200x1200.f32
0.000500,536870912,15324908,77.686691,0.000003,0.000001,35.032570,cuSZp,0.180000,SDRBENCH-SCALE_98x1200x1200/QR-98x1200x1200.f32
0.001000,536870912,12612488,72.155746,0.000006,0.000002,42.566616,cuSZp,0.177000,SDRBENCH-SCALE_98x1200x1200/QR-98x1200x1200.f32
0.005000,536870912,7752648,60.293606,0.000032,0.000006,69.250008,cuSZp,0.172000,SDRBENCH-SCALE_98x1200x1200/QR-98x1200x1200.f32
0.010000,536870912,6441048,55.632404,0.000064,0.000011,83.351486,cuSZp,0.176000,SDRBENCH-SCALE_98x1200x1200/QR-98x1200x1200.f32
0.020000,536870912,5554232,51.346996,0.000127,0.000017,96.659790,cuSZp,0.171000,SDRBENCH-SCALE_98x1200x1200/QR-98x1200x1200.f32
0.030000,536870912,5198272,48.830021,0.000191,0.000023,103.278725,cuSZp,0.171000,SDRBENCH-SCALE_98x1200x1200/QR-98x1200x1200.f32
0.050000,536870912,4837604,45.663689,0.000319,0.000033,110.978683,cuSZp,0.172000,SDRBENCH-SCALE_98x1200x1200/QR-98x1200x1200.f32
0.100000,536870912,4494968,41.833057,0.000637,0.000052,119.438202,cuSZp,0.171000,SDRBENCH-SCALE_98x1200x1200/QR-98x1200x1200.f32
0.000010,67108864,29583428,104.770821,0.000295,0.000169,2.268461,cuSZp,0.036000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.000050,67108864,24709884,90.792404,0.001468,0.000847,2.715871,cuSZp,0.033000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.000100,67108864,22615528,84.773041,0.002936,0.001694,2.967380,cuSZp,0.033000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.000500,67108864,17785300,70.793190,0.014679,0.008473,3.773277,cuSZp,0.032000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.001000,67108864,15716364,64.771957,0.029356,0.016947,4.270000,cuSZp,0.031000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.005000,67108864,11043184,50.795692,0.146777,0.084704,6.076949,cuSZp,0.030000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.010000,67108864,9169212,44.765663,0.293554,0.169592,7.318935,cuSZp,0.029000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.020000,67108864,7432528,38.761162,0.587109,0.338556,9.029077,cuSZp,0.029000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.030000,67108864,6453904,35.251015,0.880663,0.507151,10.398181,cuSZp,0.028000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.050000,67108864,5291576,30.712603,1.467772,0.855181,12.682207,cuSZp,0.028000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.100000,67108864,3667168,24.654417,2.935543,1.717780,18.299915,cuSZp,0.028000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.000010,134793068,58202827,104.770409,0.000302,0.000174,2.315920,cuSZp,0.067000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.000050,134793068,48427655,90.790985,0.001509,0.000871,2.783390,cuSZp,0.063000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.000100,134793068,44222727,84.773003,0.003017,0.001741,3.048050,cuSZp,0.062000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.000500,134793068,34507259,70.790497,0.015083,0.008709,3.906224,cuSZp,0.059000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.001000,134793068,30365995,64.772507,0.030167,0.017414,4.438948,cuSZp,0.058000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.005000,134793068,21096007,50.788761,0.150830,0.087112,6.389506,cuSZp,0.056000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.010000,134793068,17422179,44.769211,0.301661,0.174204,7.736866,cuSZp,0.056000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.020000,134793068,14020255,38.758678,0.603320,0.348004,9.614166,cuSZp,0.054000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.030000,134793068,12113211,35.234077,0.904980,0.522172,11.127773,cuSZp,0.054000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.050000,134793068,9786167,30.755474,1.508300,0.874468,13.773837,cuSZp,0.054000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.100000,134793068,6603191,24.841162,3.016599,1.727665,20.413322,cuSZp,0.051000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.000010,536870912,207645468,104.771622,0.000690,0.000397,2.585517,cuSZp,0.237000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.000050,536870912,168684224,90.791664,0.003441,0.001985,3.182698,cuSZp,0.236000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.000100,536870912,151998016,84.771149,0.006878,0.003969,3.532092,cuSZp,0.225000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.000500,536870912,113790068,70.791275,0.034374,0.019847,4.718082,cuSZp,0.217000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.001000,536870912,97793532,64.769905,0.068748,0.039697,5.489841,cuSZp,0.214000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.005000,536870912,63332664,50.790421,0.343736,0.198488,8.476998,cuSZp,0.206000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.010000,536870912,49991548,44.776684,0.687472,0.396662,10.739234,cuSZp,0.205000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.020000,536870912,37269652,38.745495,1.374943,0.794292,14.405043,cuSZp,0.194000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.030000,536870912,29843360,35.188507,2.062415,1.196270,17.989628,cuSZp,0.190000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.050000,536870912,20447772,31.033236,3.437359,1.930158,26.255716,cuSZp,0.183000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.100000,536870912,9897404,26.374201,6.874715,3.300233,54.243610,cuSZp,0.175000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.000010,67108864,29583428,104.770821,0.000295,0.000169,2.268461,cuSZp,0.035000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.000050,67108864,24709884,90.792404,0.001468,0.000847,2.715871,cuSZp,0.033000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.000100,67108864,22615528,84.773041,0.002936,0.001694,2.967380,cuSZp,0.033000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.000500,67108864,17785300,70.793190,0.014679,0.008473,3.773277,cuSZp,0.031000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.001000,67108864,15716364,64.771957,0.029356,0.016947,4.270000,cuSZp,0.031000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.005000,67108864,11043184,50.795692,0.146777,0.084704,6.076949,cuSZp,0.031000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.010000,67108864,9169212,44.765663,0.293554,0.169592,7.318935,cuSZp,0.029000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.020000,67108864,7432528,38.761162,0.587109,0.338556,9.029077,cuSZp,0.028000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.030000,67108864,6453904,35.251015,0.880663,0.507151,10.398181,cuSZp,0.028000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.050000,67108864,5291576,30.712603,1.467772,0.855181,12.682207,cuSZp,0.028000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.100000,67108864,3667168,24.654417,2.935543,1.717780,18.299915,cuSZp,0.028000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.000010,134793068,58202827,104.770409,0.000302,0.000174,2.315920,cuSZp,0.065000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.000050,134793068,48427655,90.790985,0.001509,0.000871,2.783390,cuSZp,0.063000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.000100,134793068,44222727,84.773003,0.003017,0.001741,3.048050,cuSZp,0.062000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.000500,134793068,34507259,70.790497,0.015083,0.008709,3.906224,cuSZp,0.060000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.001000,134793068,30365995,64.772507,0.030167,0.017414,4.438948,cuSZp,0.058000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.005000,134793068,21096007,50.788761,0.150830,0.087112,6.389506,cuSZp,0.056000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.010000,134793068,17422179,44.769211,0.301661,0.174204,7.736866,cuSZp,0.059000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.020000,134793068,14020255,38.758678,0.603320,0.348004,9.614166,cuSZp,0.054000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.030000,134793068,12113211,35.234077,0.904980,0.522172,11.127773,cuSZp,0.054000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.050000,134793068,9786167,30.755474,1.508300,0.874468,13.773837,cuSZp,0.053000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.100000,134793068,6603191,24.841162,3.016599,1.727665,20.413322,cuSZp,0.051000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.000010,536870912,207645468,104.771622,0.000690,0.000397,2.585517,cuSZp,0.238000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.000050,536870912,168684224,90.791664,0.003441,0.001985,3.182698,cuSZp,0.228000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.000100,536870912,151998016,84.771149,0.006878,0.003969,3.532092,cuSZp,0.226000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.000500,536870912,113790068,70.791275,0.034374,0.019847,4.718082,cuSZp,0.217000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.001000,536870912,97793532,64.769905,0.068748,0.039697,5.489841,cuSZp,0.214000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.005000,536870912,63332664,50.790421,0.343736,0.198488,8.476998,cuSZp,0.207000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.010000,536870912,49991548,44.776684,0.687472,0.396662,10.739234,cuSZp,0.203000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.020000,536870912,37269652,38.745495,1.374943,0.794292,14.405043,cuSZp,0.208000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.030000,536870912,29843360,35.188507,2.062415,1.196270,17.989628,cuSZp,0.190000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.050000,536870912,20447772,31.033236,3.437359,1.930158,26.255716,cuSZp,0.183000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32
0.100000,536870912,9897404,26.374201,6.874715,3.300233,54.243610,cuSZp,0.175000,SDRBENCH-SCALE_98x1200x1200/V-98x1200x1200.f32